,evaluation_algo,survival_selection,parent_selection,crossover_method,number_of_generations,accuracy,num_features
0,knn,elitism,uniform,uniform,39,0.7005649717514124,14
1,knn,elitism,uniform,n_point,47,0.7005649717514124,13
2,knn,elitism,uniform,1_point,26,0.7073446327683616,13
3,knn,elitism,fps,uniform,16,0.7005649717514124,17
4,knn,elitism,fps,n_point,69,0.7005649717514124,17
5,knn,elitism,fps,1_point,26,0.7050847457627119,17
6,knn,genitor,uniform,uniform,171,0.7084745762711865,18
7,knn,genitor,uniform,n_point,117,0.7028248587570621,13
8,knn,genitor,uniform,1_point,200,0.7084745762711865,14
9,knn,genitor,fps,uniform,676,0.7096045197740113,11
10,knn,genitor,fps,n_point,62,0.7073446327683616,16
11,knn,genitor,fps,1_point,227,0.7050847457627119,22
12,knn,"m,l",uniform,uniform,66,0.7073446327683616,14
13,knn,"m,l",uniform,n_point,27,0.7005649717514124,18
14,knn,"m,l",uniform,1_point,1,0.711864406779661,15
15,knn,"m,l",fps,uniform,28,0.7096045197740113,17
16,knn,"m,l",fps,n_point,24,0.7016949152542373,13
17,knn,"m,l",fps,1_point,137,0.7016949152542373,15
18,knn,m+l,uniform,uniform,99,0.7096045197740113,14
19,knn,m+l,uniform,n_point,9,0.703954802259887,19
20,knn,m+l,uniform,1_point,19,0.711864406779661,16
21,knn,m+l,fps,uniform,4,0.7062146892655368,11
22,knn,m+l,fps,n_point,31,0.7005649717514124,15
23,knn,m+l,fps,1_point,72,0.7107344632768362,14
24,dt,elitism,uniform,uniform,98,0.703954802259887,14
25,dt,elitism,uniform,n_point,17,0.7186440677966102,8
26,dt,elitism,uniform,1_point,77,0.7005649717514124,16
27,dt,elitism,fps,uniform,7,0.7107344632768362,21
28,dt,elitism,fps,n_point,15,0.7050847457627119,14
29,dt,elitism,fps,1_point,17,0.7005649717514124,17
30,dt,genitor,uniform,uniform,84,0.7016949152542373,20
31,dt,genitor,uniform,n_point,1,0.7096045197740113,17
32,dt,genitor,uniform,1_point,1137,0.7073446327683616,17
33,dt,genitor,fps,uniform,1,0.703954802259887,21
34,dt,genitor,fps,n_point,88,0.7016949152542373,14
35,dt,genitor,fps,1_point,12,0.7050847457627119,16
36,dt,"m,l",uniform,uniform,105,0.7028248587570621,13
37,dt,"m,l",uniform,n_point,9,0.7016949152542373,14
38,dt,"m,l",uniform,1_point,3,0.7016949152542373,16
39,dt,"m,l",fps,uniform,7,0.7016949152542373,20
40,dt,"m,l",fps,n_point,16,0.7073446327683616,23
41,dt,"m,l",fps,1_point,3,0.7028248587570621,14
42,dt,m+l,uniform,uniform,50,0.7028248587570621,22
43,dt,m+l,uniform,n_point,7,0.7050847457627119,20
44,dt,m+l,uniform,1_point,25,0.7005649717514124,17
45,dt,m+l,fps,uniform,69,0.7028248587570621,16
46,dt,m+l,fps,n_point,12,0.7299435028248588,12
47,dt,m+l,fps,1_point,22,0.7005649717514124,17
